dte,180.0,190.0,200.0,210.0,220.0,230.0,240.0,250.0,260.0,270.0,280.0,290.0,300.0,310.0,320.0
0.0,2.562,2.17,0.0,1.43,0.0,0.72,0.439,0.185,0.25,0.25,0.5,0.5,0.5,0.5,
7.0,1.43,0.907,1.059,0.794,0.55,0.337,0.23,0.181,0.19,0.215,0.125,0.25,0.25,0.25,0.575
14.0,,0.724,0.594,0.486,0.384,0.273,0.204,0.163,0.17,0.195,0.23,0.357,0.324,,
21.0,0.736,0.642,0.532,0.441,0.346,0.266,0.201,0.174,0.168,0.178,0.207,0.238,0.349,0.308,0.442
28.0,,0.569,0.496,0.416,0.33,0.259,0.166,0.178,0.173,0.164,0.197,0.225,0.307,0.266,
35.0,0.622,0.572,0.478,0.434,0.319,0.211,0.201,0.184,0.177,0.181,0.192,0.207,0.223,0.256,0.27
42.0,,0.464,0.461,0.386,0.339,0.21,0.216,0.182,0.193,0.183,0.193,0.197,0.229,0.258,
49.0,0.565,,,,0.291,,0.223,0.226,0.215,0.198,0.253,0.306,0.349,,
70.0,0.559,0.41,0.382,0.357,0.297,0.272,0.244,0.227,0.217,0.215,0.216,0.218,0.226,0.234,0.244
98.0,0.454,0.376,0.362,0.34,0.292,0.268,0.245,0.227,0.22,0.216,0.212,0.206,0.218,0.224,0.231
125.0,0.43,0.39,0.352,0.319,0.281,0.266,0.247,0.232,0.224,0.22,0.228,0.221,0.213,0.214,0.233
189.0,0.378,0.368,0.342,0.324,0.273,0.274,0.26,0.249,0.25,0.234,0.227,0.227,0.225,0.227,0.229
217.0,0.388,0.348,0.323,0.321,0.293,0.263,0.25,0.243,0.235,0.235,0.215,0.209,0.24,0.22,0.232
245.0,,,0.322,0.303,0.28,0.273,0.268,0.251,0.242,0.229,0.237,0.221,0.231,0.233,0.225
280.0,0.389,0.358,0.33,0.304,0.29,0.279,0.26,0.256,0.249,0.242,0.222,0.226,0.227,0.217,0.216
